Democrat Strength Rating,State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance
129,Indiana,1,8,Peter Visclosky,D,"159,611","85,594",4,65.10%,34.90%,0.00%,30.20%,12.50%,17.70%,"301,431",81.30%,x,Obama ,Clinton,Solid D,
122,New Mexico,3,8,Ben R. Lujan,D,"155,201","76,427","13,265",63.40%,31.20%,5.40%,32.20%,15.20%,17.00%,"279,058",87.80%,x,Obama ,Clinton,Solid D,
146,Maine,1,8,Chellie Pingree,D,"201,195","111,188","29,670",58.80%,32.50%,8.70%,26.30%,14.80%,11.50%,"394,329",86.70%,x,Obama ,Clinton,Solid D,
123,Illinois,8,8,Raja Krishnamoorthi,D,"130,054","67,073",0,66.00%,34.00%,0.00%,31.90%,21.60%,10.30%,"257,872",76.40%,x,Obama ,Clinton,Solid D,
170,New York,25,8,Joe Morelle,D,"159,244","110,736",0,59.00%,41.00%,0.00%,18.00%,16.20%,1.80%,"333,384",81.00%,x,Obama ,Clinton,Solid D,
173,California,31,8,Pete Aguilar,D,"110,143","77,352",0,58.70%,41.30%,0.00%,17.50%,21.10%,-3.60%,"228,825",81.90%,x,Obama ,Clinton,Solid D,
184,California,9,8,Jerry McNerney,D,"113,414","87,349",0,56.50%,43.50%,0.00%,13.00%,18.20%,-5.20%,"243,453",82.50%,x,Obama ,Clinton,Solid D,
7,Florida,21,9,Lois Frankel,D,0,0,0,100.00%,0.00%,0.00%,100.00%,19.50%,N/A,"351,663",0.00%,x,Obama ,Clinton,Solid D,
18,Massachusetts,4,9,Joe Kennedy,D,"245,289",0,"5,727",97.70%,0.00%,2.30%,97.70%,23.70%,N/A,"388,652",64.60%,x,Obama ,Clinton,Solid D,
32,Texas,28,9,Henry Cuellar,D,"117,494",0,"21,732",84.40%,0.00%,15.60%,84.40%,19.70%,N/A,"190,247",73.20%,x,Obama ,Clinton,Solid D,
117,Massachusetts,2,9,Jim McGovern,D,"191,332","93,391",170,67.20%,32.80%,0.10%,34.40%,19.00%,15.40%,"357,395",79.70%,x,Obama ,Clinton,Solid D,
132,Connecticut,3,9,Rosa DeLauro,D,"174,572","95,667",0,64.60%,35.40%,0.00%,29.20%,15.50%,13.70%,"322,281",83.90%,x,Obama ,Clinton,Solid R,
140,New Jersey,6,9,Frank Pallone,D,"140,752","80,443",0,63.60%,36.40%,0.00%,27.30%,15.60%,11.70%,"289,650",76.40%,x,Obama ,Clinton,Solid D,
124,Oregon,1,9,Suzanne Bonamici,D,"231,198","116,446","15,605",63.60%,32.10%,4.30%,31.60%,21.90%,9.70%,"398,968",91.00%,x,Obama ,Clinton,Safe D,
135,Massachusetts,3,9,Lori Trahan,D,"173,175","93,445","12,707",62.00%,33.50%,4.50%,28.50%,22.50%,6.00%,"354,367",78.80%,x,Obama ,Clinton,Solid D,
145,Colorado,2,9,Joe Neguse,D,"259,608","144,901","26,256",60.30%,33.60%,6.10%,26.60%,21.30%,5.30%,"470,864",91.50%,x,Obama ,Clinton,Solid D,
139,Illinois,11,9,Bill Foster,D,"145,407","82,358",0,63.80%,36.20%,0.00%,27.70%,23.30%,4.40%,"282,906",80.50%,x,Obama ,Clinton,Solid D,
180,California,16,9,Jim Costa,D,"82,266","60,693",0,57.50%,42.50%,0.00%,15.10%,21.30%,-6.20%,"172,088",83.10%,x,Obama ,Clinton,Solid D,
15,Massachusetts,8,10,Stephen Lynch,D,"259,159",0,"4,148",98.40%,0.00%,1.60%,98.40%,25.60%,N/A,"389,135",67.70%,x,Obama ,Clinton,Solid D,
35,Texas,20,10,Joaquin Castro,D,"139,038",0,"32,925",80.90%,0.00%,19.10%,80.90%,26.40%,N/A,"219,982",78.20%,x,Obama ,Clinton,Solid D,
48,Washington,2,10,Rick Larsen,D,"210,187",0,"84,646",71.30%,0.00%,28.70%,71.30%,22.10%,N/A,"327,533",90.00%,x,Obama ,Clinton,Solid D,
144,Virginia,4,10,Don McEachin,D,"187,642","107,706","4,506",62.60%,35.90%,1.50%,26.70%,21.40%,5.30%,"364,550",82.30%,x,Obama ,Clinton,Solid D,
125,Illinois,10,10,Brad Schneider,D,"156,540","82,124",0,65.60%,34.40%,0.00%,31.20%,28.90%,2.30%,"293,238",81.40%,x,Obama ,Clinton,Solid D,
164,Texas,34,10,Filemon Vela,D,"85,825","57,243",0,60.00%,40.00%,0.00%,20.00%,21.50%,-1.50%,"172,183",83.10%,x,Obama ,Clinton,Solid D,
4,Florida,10,11,Val Demings,D,0,0,0,100.00%,0.00%,0.00%,100.00%,26.90%,N/A,"315,611",0.00%,x,Obama ,Clinton,Solid D,
90,New York,26,11,Brian Higgins,D,"169,166","61,488",5,73.30%,26.70%,0.00%,46.70%,19.60%,27.10%,"305,135",75.60%,x,Obama ,Clinton,Solid D,
116,Maryland,2,11,Dutch Ruppersberger,D,"167,201","77,782","8,319",66.00%,30.70%,3.30%,35.30%,21.00%,14.30%,"313,406",80.80%,x,Obama ,Clinton,Solid D,
131,Indiana,7,11,Andre Carson,D,"141,139","76,457",233,64.80%,35.10%,0.10%,29.70%,22.50%,7.20%,"268,048",81.30%,x,Obama ,Clinton,Solid D,
158,Florida,23,11,Debbie Wasserman Schultz,D,"161,611","99,446","15,309",58.50%,36.00%,5.50%,22.50%,26.10%,-3.60%,"335,744",82.30%,x,Obama ,Clinton,Solid D,
19,Massachusetts,1,12,Richard Neal,D,"211,790",0,"5,110",97.60%,0.00%,2.40%,97.60%,20.30%,N/A,"344,412",63.00%,x,Obama ,Clinton,Solid D,
120,Florida,5,12,Al Lawson,D,"180,527","89,799",0,66.80%,33.20%,0.00%,33.60%,25.40%,8.20%,"311,972",86.70%,x,Obama ,Clinton,Solid D,
134,Connecticut,1,12,John Larson,D,"175,087","96,024","3,029",63.90%,35.00%,1.10%,28.80%,23.10%,5.70%,"329,238",83.30%,x,Obama ,Clinton,Solid D,
128,California,41,12,Mark Takano,D,"108,227","58,021",0,65.10%,34.90%,0.00%,30.20%,27.90%,2.30%,"206,961",80.30%,x,Obama ,Clinton,Solid D,
12,Pennsylvania,18,13,Mike Doyle,D,"231,472",0,0,100.00%,0.00%,0.00%,100.00%,26.80%,N/A,"361,913",64.00%,x,Obama ,Clinton,Solid D,
101,Maryland,3,13,John Sarbanes,D,"202,407","82,774","7,699",69.10%,28.30%,2.60%,40.80%,30.90%,9.90%,"345,565",84.80%,x,Obama ,Clinton,Solid D,
126,New Jersey,1,13,Donald Norcross,D,"169,628","87,617","6,173",64.40%,33.30%,2.30%,31.10%,24.50%,6.60%,"329,187",80.00%,x,Obama ,Clinton,Solid D,
127,Pennsylvania,5,13,Mary Gay Scanlon,D,"198,639","106,075",0,65.20%,34.80%,0.00%,30.40%,28.20%,2.20%,"367,453",82.90%,x,Obama ,Clinton,Solid D,
137,Arizona,3,13,Raul Grijalva,D,"114,650","64,868",0,63.90%,36.10%,0.00%,27.70%,29.50%,-1.80%,"211,797",84.80%,x,Obama ,Clinton,Solid D,
130,California,47,13,Alan Lowenthal,D,"143,354","77,682",0,64.90%,35.10%,0.00%,29.70%,31.50%,-1.80%,"259,263",85.30%,x,Obama ,Clinton,Solid D,
47,Mississippi,2,14,Bennie Thompson,D,"158,921",0,"62,458",71.80%,0.00%,28.20%,71.80%,28.40%,N/A,"291,419",76.00%,x,Obama ,Clinton,Solid D,
114,Ohio,9,14,Marcy Kaptur,D,"157,219","74,670",48,67.80%,32.20%,0.00%,35.60%,22.20%,13.40%,"301,656",76.90%,x,Obama ,Clinton,Solid D,
104,Michigan,12,14,Debbie Dingell,D,"200,588","85,115","8,925",68.10%,28.90%,3.00%,39.20%,26.20%,13.00%,"340,042",86.60%,x,Obama ,Clinton,Solid D,
119,Rhode Island,1,14,David Cicilline,D,"116,099","57,567",417,66.70%,33.10%,0.20%,33.60%,24.90%,8.70%,"219,493",79.30%,x,Obama ,Clinton,Solid D,
112,Minnesota,4,14,Betty McCollum,D,"216,865","97,747","14,003",66.00%,29.70%,4.30%,36.20%,30.60%,5.60%,"367,654",89.40%,x,Obama ,Clinton,Solid D,
108,Maryland,8,14,Jamie Raskin,D,"217,679","96,525","5,126",68.20%,30.20%,1.60%,37.90%,33.30%,4.60%,"369,004",86.50%,x,Obama ,Clinton,Solid D,
107,California,53,14,Susan Davis,D,"185,667","83,127",0,69.10%,30.90%,0.00%,38.10%,34.90%,3.20%,"310,373",86.60%,x,Obama ,Clinton,Solid D,
95,Vermont,AL,15,Peter Welch,D,"188,547","70,705","13,199",69.20%,26.00%,4.80%,43.30%,26.40%,16.90%,"315,077",86.50%,x,Obama ,Clinton,Solid D,
93,Texas,35,15,Lloyd Doggett,D,"138,278","50,553","5,236",71.30%,26.00%,2.70%,45.20%,33.30%,11.90%,"202,033",96.10%,x,Obama ,Clinton,Solid D,
115,Nevada,1,15,Dina Titus,D,"100,707","46,978","4,516",66.20%,30.90%,3.00%,35.30%,29.00%,6.30%,"196,841",77.30%,x,Obama ,Clinton,Solid D,
94,Virginia,11,15,Gerry Connolly,D,"219,191","83,023","6,051",71.10%,26.90%,2.00%,44.20%,38.90%,5.30%,"361,492",85.30%,x,Obama ,Clinton,Solid D,
106,California,46,15,Lou Correa,D,"102,278","45,638",0,69.10%,30.90%,0.00%,38.30%,38.00%,0.30%,"182,597",81.00%,x,Obama ,Clinton,Solid D,
2,California,27,16,Judy Chu,D,"202,636",0,0,100.00%,0.00%,0.00%,100.00%,37.60%,N/A,"264,466",76.60%,x,Obama ,Clinton,Solid D,
25,New York,6,16,Grace Meng,D,"111,646",0,"11,209",90.90%,0.00%,9.10%,90.90%,32.80%,N/A,"208,665",58.90%,x,Obama ,Clinton,Solid D,
23,Virginia,3,16,Bobby Scott,D,"198,615",0,"19,107",91.20%,0.00%,8.80%,91.20%,31.50%,N/A,"325,478",66.90%,x,Obama ,Clinton,Solid D,
100,New Jersey,9,16,Bill Pascrell,D,"140,832","57,854","1,730",70.30%,28.90%,0.90%,41.40%,31.20%,10.20%,"276,523",72.50%,x,Obama ,Clinton,Solid D,
96,Maryland,5,16,Steny Hoyer,D,"213,796","82,361","8,052",70.30%,27.10%,2.60%,43.20%,33.80%,9.40%,"365,068",83.30%,x,Obama ,Clinton,Solid D,
111,New Jersey,12,16,Bonnie Watson Coleman,D,"173,334","79,041",0,68.70%,31.30%,0.00%,37.40%,33.20%,4.20%,"314,721",80.20%,x,Obama ,Clinton,Solid D,
