,CD_ID,State,CD,2020_dem_pct,2020_GOP_pct,Dem_2018_Vote_Share,GOP_2018_Vote_Share,2016_dem_vote_pct,2016_GOP_vote_pct,2018_Cook_PVI_Score,white_pct_pop,black_pct_pop,hispanic_pct_pop,asian_pct_pop,other_race_pct_pop,white_non_college_pct_pop,white_ba_pct_pop,black_non_college_pct_dis,black_ba_pct_dis,hispanic_non_college_pct_pop,hispanic_ba_pct_pop,asian_non_college_pct_pop,asian_ba_pct_pop,2020_dem_margin,City_Lab_Congressional_Index_Dense suburban,City_Lab_Congressional_Index_Pure rural,City_Lab_Congressional_Index_Pure urban,City_Lab_Congressional_Index_Rural-suburban mix,City_Lab_Congressional_Index_Sparse suburban,City_Lab_Congressional_Index_Urban-suburban mix
275,NY-5,NY,5,99.3,0.0,100.0,0.0,85.5,13.0,37,10.87376164,50.36037099,18.1851237,15.54107049,5.039673172,7.003914014,3.869847628,37.94118319,12.4191878,14.83993664,3.345187058,10.1693915,5.37167899,99.3,0,0,1,0,0,0
276,NY-6,NY,6,67.9,32.0,90.9,0.0,71.9,27.0,16,34.40694336,4.847563695,17.97718057,41.4214612,1.34685118,18.96767975,15.43926362,2.859734311,1.987829384,13.15352547,4.823655094,25.8216684,15.59979279,35.900000000000006,0,0,1,0,0,0
277,NY-7,NY,7,84.8,14.4,93.4,0.0,90.7,9.3,38,31.65013156,11.56310471,37.72399177,19.94532666,-0.8825546989,10.38343009,21.26670148,9.018439455,2.544665254,31.10524106,6.618750704,14.01787634,5.927450318,70.39999999999999,0,0,1,0,0,0
278,NY-8,NY,8,84.8,15.2,94.2,0.0,93.2,0.0,36,28.47295121,50.29154652,15.19880652,6.125114845,-0.08841909925,11.46246282,17.0104884,38.35696937,11.93457714,12.08940153,3.10940499,3.376845476,2.748269369,69.6,0,0,1,0,0,0
279,NY-9,NY,9,83.0,15.9,89.3,10.3,92.3,0.0,34,32.96853223,47.45766367,10.81642134,7.804704974,0.9526777891,10.77349203,22.19504019,35.69444526,11.7632184,8.195381277,2.621040065,4.513850092,3.290854881,67.1,0,0,1,0,0,0
280,NY-10,NY,10,74.5,24.1,82.1,17.9,77.5,22.5,26,61.73474907,3.846015163,13.02988035,19.44907816,1.940277264,16.33522161,45.39952746,2.397449401,1.448565762,8.215434541,4.814445805,9.032423354,10.41665481,50.4,0,0,1,0,0,0
281,NY-11,NY,11,46.8,53.1,53.0,46.6,36.1,62.2,-3,60.80366291,7.021543217,15.28206837,15.86931133,1.023414183,34.74456287,26.05910004,5.136826448,1.88471677,11.77681669,3.50525168,9.793515924,6.075795402,-6.300000000000004,0,0,1,0,0,0
282,NY-12,NY,12,82.1,16.4,86.4,12.1,83.0,17.0,31,65.17259109,4.995692171,13.05081154,15.24589367,1.535011534,12.83854673,52.33404436,3.393805064,1.601887107,7.161939635,5.888871905,3.993948195,11.25194547,65.69999999999999,0,0,1,0,0,0
283,NY-13,NY,13,90.8,7.8,94.6,5.4,88.8,6.9,43,17.29236899,29.74443689,51.45833178,4.615870477,-3.111008125,4.662961662,12.62940732,21.28857927,8.45585762,42.44709716,9.011234611,1.920087007,2.69578347,83.0,0,0,1,0,0,0
284,NY-14,NY,14,71.5,27.4,78.2,13.6,82.6,17.4,29,23.73727148,10.73244804,46.73157466,18.45590425,0.3428015641,13.01693166,10.72033982,8.188530936,2.543917108,39.31658032,7.414994343,11.56831219,6.887592052,44.1,0,0,1,0,0,0
285,NY-15,NY,15,88.7,11.1,96.0,4.0,95.2,3.6,44,2.607386066,42.29046621,63.34446482,1.957613061,-10.19993016,1.792386939,0.8149991269,35.52012397,6.770342239,55.63580409,7.70866073,1.284922298,0.6726907631,77.60000000000001,0,0,1,0,0,0
286,NY-16,NY,16,84.0,15.8,100.0,0.0,94.7,0.0,24,36.93745336,33.21162635,25.12999782,5.474676657,-0.7537541972,15.2826141,21.65483926,23.92776085,9.283865502,18.88019214,6.249805683,2.078410645,3.396266012,68.2,0,0,1,0,0,0
287,NY-17,NY,17,59.3,35.2,88.0,0.0,100.0,0.0,7,61.06776729,11.13830768,20.85469084,6.887693228,0.05154097406,26.44860455,34.61916273,7.246054589,3.892253088,15.10049479,5.754196042,1.647289955,5.240403273,24.099999999999994,0,0,0,0,1,0
288,NY-18,NY,18,55.8,43.2,55.5,44.5,55.2,44.8,-1,69.6118388,10.12904279,16.02282985,3.107809702,1.128478857,42.25567699,27.35616181,7.816724953,2.312317833,11.76795021,4.254879643,1.19478706,1.913022642,12.599999999999994,0,0,0,1,0,0
289,NY-19,NY,19,54.5,42.9,51.4,46.2,45.3,54.7,-2,85.75543872,4.42377924,6.645900891,1.464361049,1.710520102,57.84875484,27.90668388,3.650473822,0.7733054183,5.305701602,1.340199288,0.8415845481,0.622776501,11.600000000000001,0,1,0,0,0,0
290,NY-20,NY,20,61.1,38.8,66.5,33.5,67.6,32.4,7,79.35397585,8.174467062,5.267080153,4.94037174,2.264105199,46.00726151,33.34671433,6.063580955,2.110886107,3.852734792,1.414345361,1.988867272,2.951504468,22.300000000000004,0,0,0,0,1,0
291,NY-21,NY,21,41.1,58.8,42.4,56.1,29.3,66.1,-4,91.97126679,2.683487837,2.76097893,0.970073678,1.61419276,68.81065523,23.16061156,2.343388042,0.3400997954,2.415344056,0.3456348735,0.5250124027,0.4450612754,-17.699999999999996,0,1,0,0,0,0
292,NY-22,NY,22,49.0,49.0,50.9,49.1,40.4,47.0,-6,90.34617198,3.422859837,2.793031542,1.967417109,1.470519534,66.07633536,24.26983662,3.000709247,0.4221505897,2.261096317,0.5319352249,1.36392014,0.6034969698,0.0,0,0,0,1,0,0
293,NY-23,NY,23,41.1,57.7,45.8,54.2,41.9,58.1,-6,91.23743405,2.635372547,2.836215407,1.944736367,1.346241627,65.99747354,25.23996051,2.347059011,0.2883135357,1.991868624,0.844346783,0.678110039,1.266626328,-16.6,0,1,0,0,0,0
294,NY-24,NY,24,43.0,53.1,47.4,52.6,39.0,61.0,3,85.38837868,7.057390675,3.488783555,2.068006386,1.997440708,56.95061637,28.43776231,5.649163087,1.408227588,2.67779259,0.8109909643,1.191798746,0.87620764,-10.100000000000001,0,0,0,1,0,0
295,NY-25,NY,25,59.3,39.1,59.0,41.0,55.8,44.2,8,74.21285318,14.10976247,7.40906716,3.274988947,0.9933282424,40.33499457,33.87785861,11.57951851,2.530243961,5.84944335,1.559623809,1.448092922,1.826896025,20.199999999999996,0,0,0,0,1,0
296,NY-26,NY,26,69.9,28.7,73.3,26.7,74.4,25.6,11,73.43855661,16.00734078,5.206983925,3.664483172,1.682635511,48.15278762,25.28576899,13.13050457,2.876836213,4.075314285,1.13166964,1.875524487,1.788958685,41.2,0,0,0,0,0,1
